FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23	PC24	PC25	PC26	PC27	PC28	PC29	PC30
HG01061	HG01061	-0.02831554	-0.1188722	0.06740572	-0.06235765	0.06508299	0.01236032	-0.007031627	-0.01697541	0.007520606	0.02202914	-0.0240734	0.007509695	0.01174165	-0.1272227	-0.02084755	0.04760285	0.01282902	-0.01166576	-0.002683024	0.01326593	-0.003658864	0.0120968	0.02027229	0.007342782	-0.01435151	-0.01168038	0.01432786	-0.01413814	-0.004602719	-0.01585605
HG01063	HG01063	0.1696411	-0.04025315	0.04006757	-0.04961516	0.0453776	-0.01016142	-0.009052221	0.002814562	-0.004597314	-0.001367169	0.0112099	0.02858561	0.00902116	-0.08898011	0.003459881	0.03727554	0.05246713	-0.03177885	0.04250681	0.03710508	0.04626089	0.008628059	0.02753332	-0.02285104	0.06471853	-0.01259144	0.001129845	-0.01001447	-0.02281684	0.04189664
HG01064	HG01064	0.04560249	-0.08988925	0.05206465	-0.04766181	0.06674348	0.001210541	0.01456964	-0.02516693	0.002669386	0.008584601	0.002092128	0.009776507	-0.00252228	-0.1273557	-0.03233583	0.03006362	0.009348878	-0.03468863	0.004195462	-0.05379482	-0.0128276	-0.00136784	0.01891986	0.01342257	0.02551682	0.006768473	-0.002491168	-0.01343423	0.01999724	0.017647
HG01066	HG01066	-0.02776985	-0.1227772	0.06016067	-0.04153681	0.05700332	0.0005999135	0.001776237	-0.01633408	0.007576899	0.005931651	-0.007581019	0.008895299	0.009071087	-0.08109776	0.001218664	0.0526044	0.01183839	-0.002243636	0.005512363	-0.0009135643	-0.02075186	-0.01301577	-0.007030302	0.007881476	-0.0289301	0.007215632	-0.02238195	0.003195347	-0.002093639	0.006613394
HG01067	HG01067	-0.01064373	-0.1104623	0.05372452	-0.06422251	0.07387886	0.0001679481	0.001861544	-0.02499874	0.005338938	0.02172818	-0.01715932	0.0007344849	0.01159213	-0.1157778	-0.007835408	0.06280316	0.004914348	-0.00281782	0.009386868	-0.01765882	0.006020708	-0.01898473	0.01800969	-0.006759128	-0.00498058	0.02138784	-0.003914508	-0.02367627	0.008326631	-0.01352039
HG01069	HG01069	-0.01638314	-0.1127336	0.06072958	-0.06472818	0.06142128	-0.004558246	0.004557947	-0.0108857	0.007238601	0.01742606	-0.009424199	0.02007325	-0.002448914	-0.1113302	-0.005963755	0.06710317	0.002165067	0.00240413	0.01031424	-0.01507972	-0.002331511	0.0006953439	0.006158668	-0.01072181	0.008459503	0.01185146	-0.0141217	-0.006847398	0.003977015	0.02389767
HG01070	HG01070	-0.04037114	-0.1213297	0.05994791	-0.07110924	0.0673249	-0.01380353	0.001572612	0.0003218805	-0.004889217	0.008909981	-0.01099238	0.01259049	0.008728681	-0.1083803	-0.006020801	0.0436029	0.003749237	-0.0474075	0.0187899	0.005757422	-0.01396091	0.01548325	-0.006805995	-0.01182089	0.01239295	-0.01167936	-0.01325023	0.01009713	-0.01289277	-0.008838255
HG01072	HG01072	-0.012465	-0.1182464	0.06211689	-0.05771919	0.07930531	0.009845721	0.003833234	-0.007602232	-0.0341781	0.01712014	-0.003032822	0.02285817	0.02365638	-0.1395766	-0.008706001	0.04433599	-0.005482016	-0.0237197	-0.001395005	0.017864	-0.02366986	0.003503135	0.003125115	0.004517647	-0.02237196	0.02343622	-0.02456245	0.005490369	0.002362087	0.006495192
HG01073	HG01073	-0.01874862	-0.108396	0.05462977	-0.07154065	0.06046292	0.004936245	-0.002762365	-0.00504056	-0.0008213457	0.01695034	-0.01610572	0.02453801	0.02766954	-0.121873	-0.01980709	0.04047979	-0.003311645	-0.01466503	-0.01914915	-0.002048248	-0.003121177	-0.007332378	-0.001801146	-0.02537833	0.01340453	0.02946682	-0.001363057	-0.02889799	0.008409964	-0.007401306
HG01075	HG01075	-0.01260174	-0.1412335	0.0490119	-0.002895308	0.06076193	0.005199823	-0.01338443	0.003721076	-0.001109489	0.005022221	-0.006795465	-0.0002759309	0.004312558	-0.00492174	-0.01154197	0.008222109	0.004553242	-0.005154124	-0.009991424	-0.001447139	0.006536344	-0.01715613	0.01335002	-0.02863718	0.01436766	-0.006532503	0.006525475	0.01972382	-0.00987428	-0.0184833
HG01077	HG01077	0.05562644	-0.05760426	0.05487202	-0.07510772	0.04749919	0.007174419	0.004469543	-0.001246951	0.005686224	0.0009995135	-0.005282237	0.006627846	0.02369167	-0.07964547	0.01310489	0.04639358	0.02254224	0.007291372	-0.01887947	-0.02839809	-0.01017976	0.001374501	-9.439928e-05	0.03775305	-0.005781753	-0.006486957	0.01172913	-0.02836765	0.02442386	0.01831476
HG01079	HG01079	0.03098882	-0.08875739	0.04705841	-0.05225274	0.05540754	0.01292266	-0.008774505	-0.001617562	-0.01218489	-0.002318667	-0.00482269	-0.005208817	0.004011921	-0.07457004	-0.01654296	0.01704199	0.0005206508	-0.029417	-0.009704898	-0.001096402	0.0007042634	-0.02096431	-0.007554528	-0.00408664	-0.0005454004	-0.0002581373	0.005621682	0.005935726	0.02760722	0.008859768
HG01080	HG01080	-0.0204415	-0.08741862	0.06568758	-0.1050615	0.05744748	-0.005335101	-0.006984164	-0.007067647	0.004916235	0.005510931	-0.006991657	0.009955805	-0.006589466	-0.09863009	-0.01150787	0.03564671	-0.02825172	0.008558917	-0.009044384	0.0152899	-0.01017269	0.004202715	-0.008620448	0.0006292248	0.01521949	-0.008795562	-0.02577371	0.01973061	-0.0009299084	-0.009015111
HG01082	HG01082	0.06335797	-0.07056816	0.05070045	-0.06796545	0.0647138	-0.003033927	0.008564852	-0.01061633	0.006787905	0.0008068784	0.006295041	0.01805172	0.007023085	-0.08730443	-0.008547719	0.03787373	0.03622902	-0.004529671	0.01895141	-0.01500972	0.01830644	-0.009586228	0.006784596	-0.03127347	0.008283461	-0.001513223	-0.02375978	0.01296454	-0.01205627	-0.01345459
HG01083	HG01083	-0.01141465	-0.0994398	0.06130916	-0.06482638	0.06090184	-0.004825107	0.002118863	-0.004099339	-0.0001346555	0.003291056	-0.02393508	0.01961662	0.02066444	-0.1001489	-0.006321763	0.02268827	0.003953174	0.008724796	0.005729249	0.02027426	-0.008930149	0.008614611	0.01410824	-0.007199031	-0.008936496	0.01054786	0.01509074	-0.02758852	0.02702605	0.01406889
HG01085	HG01085	0.01390022	-0.1089696	0.05087467	-0.03350671	0.05357531	-0.0009615668	0.0007497575	-0.01506494	0.008653105	0.01155233	-0.01228013	0.005629392	-0.01134974	-0.05642159	-0.01010246	0.003847641	0.02340196	0.04429465	-0.03921681	0.01072753	-0.01641946	-0.01103952	-0.03794549	-0.01799797	-0.008789014	0.03110363	-0.01011366	0.008338451	-2.310962e-05	-0.01116445
HG01086	HG01086	0.0176003	-0.0802007	0.04946582	-0.08250697	0.05205324	0.005892443	-0.0114659	-0.01278827	0.02273222	0.00214442	-0.02415631	-6.820541e-05	0.01071206	-0.08907035	-0.009286889	0.05383398	0.007892568	0.01564049	-0.01425154	0.02004469	-0.03538389	-0.01453436	-0.0333402	-0.01259133	-0.006854853	0.007312709	-0.002530948	-0.02062688	0.01671302	-0.004891404
HG01088	HG01088	0.04151168	-0.08844977	0.04275039	-0.0377254	0.05120408	0.004807748	-0.01605367	0.00950864	0.004737091	-0.0009180257	-0.0320174	0.0009484869	0.01043369	-0.06943172	-0.01798479	-0.004888258	-0.01649984	-0.008582956	0.02033768	0.02267217	-0.02126772	-0.02247774	0.0137769	0.01777491	0.01049274	-0.03188034	0.008265125	-0.03457306	-0.005846379	0.01597591
HG01089	HG01089	0.02210474	-0.09493717	0.04429352	-0.06525528	0.04892295	0.0131006	0.01483653	0.001799707	0.007325883	0.00131286	-0.01483071	-0.003851572	0.01107797	-0.07647851	0.0129254	0.04791036	0.0155064	-0.02810255	0.004916705	-0.013233	-0.02888062	-0.0168556	-0.00635326	0.0171124	0.001514514	-0.005334254	-0.01509446	0.003688906	0.05469829	0.006152829
HG01092	HG01092	0.0953552	-0.0637406	0.04421259	-0.05198165	0.05582519	0.00743943	-0.005886086	-0.01375409	0.01692019	0.01917335	0.0008358573	-0.02629044	0.001362533	-0.06081367	-0.008388098	0.02461451	0.03301681	0.0005513841	0.001396825	0.006998804	-0.02712373	0.00914614	0.05046382	0.03079137	-0.004689693	-0.01835749	-0.04034396	-0.01099516	0.005551978	0.01160663
HG01094	HG01094	0.01373376	-0.1027035	0.05127344	-0.05973892	0.05789303	-0.007382582	-0.003560464	0.01226938	0.00411331	0.009832495	-0.0001042325	0.02153201	0.002744226	-0.09076973	-0.01260752	0.04803946	-0.007682592	-0.01713369	0.02275939	0.002152451	0.0214621	0.001179225	0.015181	0.008610475	-0.001269596	-0.003100839	-0.01623783	-0.002927524	0.003158833	-0.02418987
HG01095	HG01095	0.002930878	-0.1069544	0.05264268	-0.0524846	0.06160484	-0.003631518	-0.008729634	-0.01967914	0.006983742	0.01191294	-0.01272497	0.002220295	-0.0009480183	-0.09226918	-0.00518473	0.03446986	0.003915822	0.03081024	0.03111488	-0.01321419	-0.01506161	-0.01480315	0.02799883	0.01101228	-0.01156208	0.01000699	-0.03396227	-0.01130328	0.0007022638	-0.03967677
HG01097	HG01097	-0.009539194	-0.1059572	0.06080076	-0.06519598	0.06623181	0.006505798	0.008315048	-0.007003754	0.01446268	0.02300644	-0.006117267	0.005035589	0.00338855	-0.1126558	-0.01592628	0.0503099	0.00407885	-0.007849514	-0.001452992	-0.0007174943	0.004905312	-0.02259859	0.007865991	-0.01685976	-0.008913379	0.01082426	-0.02051997	-0.003536947	-0.001016598	0.02528082
HG01098	HG01098	-0.007781206	-0.1137398	0.05905011	-0.06111449	0.0741666	0.001930243	-0.0008617941	-0.01716538	0.005762847	-0.002184027	-0.02681523	-0.00128077	0.0002747829	-0.1061168	-0.008380606	0.04494105	0.001025111	-3.402788e-05	0.002671724	0.0137929	0.001796094	0.006191245	-0.01715469	-0.008179731	-0.006108294	0.001418558	-0.01331447	0.02693592	-0.007149635	-0.002746437
HG01101	HG01101	0.02500546	-0.08915682	0.05711129	-0.07698239	0.06454177	0.003436269	0.0147762	-0.001798515	0.008165203	0.01115093	-0.01202997	-0.009358952	-0.001728481	-0.1163206	-0.01698825	0.04433009	0.01994616	0.02714529	-0.01707228	0.0004441408	-0.01915198	0.04880216	-0.0007480566	-0.003300185	0.005936343	0.01154219	0.001658888	-0.01725112	0.007827478	-0.01082479
HG01102	HG01102	0.03762705	-0.09398566	0.04811765	-0.057322	0.04243203	0.01084072	0.007622512	-0.002220995	0.004638453	-0.004025097	-0.005615871	-0.0003513825	0.004082705	-0.09527199	-0.01896412	0.01151976	-0.002981872	-0.001764671	0.01011449	0.019006	0.02389263	-0.02946607	0.0165489	-0.006221317	-0.03373132	-0.02893155	0.009836602	-0.01853512	-0.01618968	0.005112601
HG01104	HG01104	-0.01477203	-0.1127147	0.0574644	-0.04180774	0.06722649	0.001362865	-0.008906442	0.004370805	0.004918306	0.004465685	-0.009330898	-0.001325274	0.01078605	-0.06949221	0.004777873	0.01838913	0.01736419	0.01251438	-0.01882218	0.0336475	-0.01886356	0.03370402	-0.001209855	-0.008436813	-0.007886436	-0.02388587	0.01722456	-0.0008943811	-0.02426224	0.009372782
HG01105	HG01105	-0.01905433	-0.1363379	0.04622403	-0.02834774	0.05633008	0.009690065	0.01052095	-0.002288265	-0.001567272	0.01982334	-0.01505542	0.01054216	0.01503274	-0.06214221	-0.0001993147	0.02596183	0.01212342	-0.01653288	-0.005146684	0.005914762	-0.01583878	0.004254438	-0.004083999	0.03715147	-0.01868024	-0.0005929684	0.00685333	0.005757844	-0.002290913	-0.005159146
HG01107	HG01107	0.08062891	-0.08142785	0.05051041	-0.05074876	0.0592896	0.01978675	-0.009465342	0.01022941	0.008255509	-0.009788465	-0.01975113	0.009513447	-0.00783671	-0.07501912	0.009938741	0.01903575	-0.0108863	0.007097081	0.03282298	-0.01620537	0.00741344	-0.024616	-0.007003349	-0.0331872	-0.01059116	-0.04556831	0.002543857	0.03260083	0.07442414	-0.0488491
HG01108	HG01108	0.3773582	0.03858877	0.03166698	-0.02741212	0.008880114	0.01877198	-0.006991824	0.02401282	0.001706367	0.003132939	0.01360475	0.004136108	0.03901171	-0.02901284	-0.01356674	0.0571868	-0.03074752	0.01028618	-0.03767664	0.02207442	0.1682587	0.02208556	-0.1278806	0.03204052	0.01971067	0.1135213	0.001971631	-0.1007569	-0.1235703	0.006720931
HG01110	HG01110	0.01545008	-0.09920319	0.05319215	-0.0611084	0.04369544	-0.0004882575	0.007513298	0.0002414955	0.003197693	0.01730183	0.00792683	0.01500075	-0.01359424	-0.06281826	-0.007702573	0.01464129	0.02317971	0.03905598	-0.02334712	0.00253995	-0.02333771	-0.002186342	-0.002500676	-0.02475378	-0.02675105	0.01409851	-0.01320101	0.02323546	0.0252352	-0.0146318
HG01111	HG01111	0.007552209	-0.1090855	0.05810092	-0.04995268	0.05731165	0.006902919	-0.01603757	-0.0009462124	-0.001996136	0.009824725	-0.002452295	0.01353046	0.006699626	-0.05628931	-0.01730886	0.01967487	0.01627275	0.02712982	0.006594997	-0.01263028	0.02035195	0.005451265	-0.03881617	0.0006713221	-0.01732806	0.005963557	0.0002174593	-0.02750441	-0.003352331	-0.0113077
HG01161	HG01161	0.04768248	-0.07109749	0.04757275	-0.07572673	0.05004989	0.002795522	-0.0004348395	0.01749658	-0.009588055	0.005629621	-0.009263091	-0.01639361	0.02019757	-0.07984631	-0.002237491	0.07866424	-0.01066814	-0.005554	0.01961927	0.0135946	-0.02539984	-0.006833529	0.006739435	-0.0001526264	0.0173894	0.02095571	0.0102107	-0.01782982	-0.02785676	0.02224871
HG01162	HG01162	-0.01044442	-0.09831528	0.05610871	-0.07221632	0.0651992	-0.001864851	0.004245304	-0.02751175	-0.006060151	0.01325414	-0.02313239	0.002248552	0.009401585	-0.1000684	-0.02417343	0.0418067	-0.02288062	-0.01436613	0.01901843	0.003577374	-0.02315018	0.01228328	-0.005542327	-0.01528596	-0.02581517	-0.009392285	-0.01944053	-0.01349345	0.02693891	-0.02325871
HG01164	HG01164	-0.01168036	-0.1237599	0.0521009	-0.05200872	0.06954021	-0.001961343	-0.01015714	-0.01124253	0.007118843	0.01386891	-0.01067787	0.01494969	0.002281831	-0.06207883	0.02567583	0.02932377	-0.0157668	-0.020232	-0.004529235	0.002476677	0.01538261	0.0244094	-0.0205917	0.004252849	0.01117674	0.00727489	0.02286251	-0.01510066	0.01782733	-0.005010265
HG01167	HG01167	0.08348212	-0.07104842	0.04620107	-0.05933252	0.04864144	-0.0004646349	-0.001154738	-0.01248652	0.002059734	-0.002719383	-0.009429972	0.01005185	0.003894398	-0.07839788	-0.01996203	0.0309079	-0.002114676	0.01504709	0.008110421	0.03969136	-0.005490665	-0.01282348	0.0228896	-0.002341839	0.04193092	0.02269321	0.0447845	0.01249929	0.01527469	-0.01477175
HG01168	HG01168	-0.0416398	-0.1519146	0.03814544	-0.01350982	0.08876954	-0.005192409	-0.006646869	-0.01999954	0.01549205	0.009337763	-0.003484218	0.006385668	0.01413356	-0.05547627	-0.01493192	-0.008229567	0.01836657	0.01384715	0.007825058	-0.001936517	0.01072009	-0.008654243	-0.003640305	-0.01933724	0.01061321	-0.003378604	0.002711653	-0.004683131	0.005365334	0.01558825
HG01170	HG01170	0.0005841329	-0.09331324	0.05162969	-0.06153835	0.05189675	-0.0004594706	-0.01400856	-0.01036607	-0.003717394	0.007990449	-0.01470097	0.03428404	0.009458912	-0.1096374	0.0004019821	0.0139063	-0.01142606	0.007465592	0.02168983	-0.01263423	-0.02359561	-0.02949329	0.01042524	0.003964119	0.01137833	-0.01863292	-0.00976904	0.01466042	0.01123592	0.007533175
HG01171	HG01171	0.05171005	-0.0820218	0.05347763	-0.06573195	0.0386871	0.02249299	-0.003926562	-0.02538721	0.0145464	0.02396717	-0.01524437	-0.01270041	0.03111284	-0.08685838	-0.01731216	0.02327917	-0.002065589	0.01951422	0.01270988	-0.01242907	0.01712035	0.01235797	-0.003547596	-0.002093076	0.01342156	-0.01441503	-0.003945503	-0.009591109	0.04023408	0.005654628
HG01173	HG01173	-0.01515632	-0.1489973	0.05328268	-0.005264197	0.08726941	0.001205558	0.002788704	-0.000250844	-0.009734419	0.01331053	0.0001459977	-0.007283563	0.008638477	-0.06480211	-0.02241504	0.01373459	0.01533091	0.01767328	-0.01469032	0.007345913	0.01091383	-0.01036309	-0.006219834	-0.001302527	0.002963364	-0.003860363	0.005703091	0.01687019	-0.007477605	-0.0319196
HG01174	HG01174	-0.02215384	-0.1271798	0.05527856	-0.03491104	0.06321511	-0.002746815	0.0008106936	0.008817195	-0.004336259	0.00828207	-0.007061746	0.0005610117	-0.006132738	-0.09314245	-0.008815244	0.04654625	-0.001838024	0.006096138	0.004159714	-0.03275596	0.001032821	-0.0102378	-0.0004739761	0.009279588	-0.01985194	0.02096415	-0.004865648	0.01005437	0.002859423	-0.001073427
HG01176	HG01176	-0.009164961	-0.1132443	0.05774559	-0.06381533	0.04664537	-0.0002132155	-0.01135662	-0.007093176	0.01295066	0.002040497	-0.03060026	0.01166544	-0.01014791	-0.08736418	-0.02181022	0.04499067	0.01256267	0.008797214	0.0206482	0.004485291	-0.02134544	-0.01237369	-0.009793852	0.01849953	-0.01668137	0.003321291	-0.01628808	0.01721895	0.005584615	-0.01242634
HG01177	HG01177	-0.02864984	-0.09603978	0.05712902	-0.07757548	0.05903688	-0.00832009	-0.005979993	-0.02200261	0.005383553	0.01326451	-0.008432644	0.008241293	-0.006423413	-0.1068819	-0.01106728	0.06053583	-0.001318721	-0.01391106	-0.006145969	-0.0009858097	-0.01626735	-0.01544594	0.01028433	-0.01742801	-0.01542232	0.001567936	-0.006256246	0.02371926	0.01865196	-0.003810756
HG01182	HG01182	0.02611008	-0.09417046	0.05705575	-0.05895253	0.05042674	0.004035229	0.001467236	-0.01122649	-0.002259057	0.01818187	-0.02557141	0.02424574	0.002476881	-0.1019945	-0.01190483	0.03888812	0.04404232	0.02020563	0.021506	-0.04335564	-0.009059899	0.003437914	-0.005782279	-0.02117435	-0.003530664	-0.004507385	0.02073737	0.008679464	-0.001764291	0.03599056
HG01183	HG01183	0.01201379	-0.09575458	0.05834766	-0.0676846	0.06374962	0.003490489	-0.0008709794	-0.02057582	-0.003614659	0.01454399	-0.01957649	0.0005034258	0.003614155	-0.09943249	-0.01090119	0.05434078	0.02019717	-0.009880626	0.01207454	-0.006203882	-0.001863562	0.02633225	-0.01447105	-0.03762332	0.01959704	0.03016084	0.003444049	0.02059543	0.0241665	-0.01838879
HG01187	HG01187	0.03646969	-0.03863814	0.05336456	-0.1189219	0.04070744	-0.0110346	0.006629012	-0.0003843138	0.002008523	0.004876708	-0.0294858	0.02659058	-0.004610411	-0.08142248	-0.02380441	0.03872389	-0.006655134	0.0008969577	0.04343953	0.03031115	0.02215213	-0.01136136	0.03992911	-0.03449051	-0.02809276	-0.01783523	-0.0183652	-0.03125738	0.005930889	-0.0172136
HG01188	HG01188	0.06726627	-0.03765003	0.05309603	-0.1008056	0.03531209	0.01449337	-0.0043631	-0.01026974	-0.001331643	0.006459794	-0.01036791	0.008476948	0.01698892	-0.110362	-0.009616275	0.06211429	-0.02181083	0.009514455	0.003992058	-0.01051972	0.01906188	0.002183367	-0.009699487	-0.01314674	0.03522524	0.02305303	0.001511069	-0.02438816	0.02758756	0.008431987
HG01190	HG01190	0.03125562	-0.05701146	0.05487854	-0.09983543	0.0489216	0.003669978	-0.004389598	-0.007608811	0.02187818	0.0004014396	-0.02451671	0.007727565	-0.0006729734	-0.1303029	-0.0118191	0.04644965	-0.004996715	-0.002257881	-0.02394014	-0.009671796	0.02184308	-0.03007932	-0.007477784	-0.007552479	-0.03062079	-0.01986679	-0.01999948	0.004870168	-0.004124547	0.003686493
HG01191	HG01191	-0.01548515	-0.09480128	0.05482895	-0.08814405	0.05582074	0.005415897	-0.01341358	-0.02491808	0.002783738	0.0046015	-0.009118722	-0.003367507	0.02198878	-0.1052894	-0.01781579	0.05305974	0.004599692	-0.01673121	0.01606748	0.01336993	-0.007947823	-0.007176761	-0.01233519	-0.003870168	0.008412182	-0.00407774	-0.02000031	-0.00702648	-0.01783222	0.04034489
HG01197	HG01197	-0.02090661	-0.1169707	0.06024268	-0.06432305	0.0618309	-0.001947653	0.003457375	-0.01296841	-0.002981642	0.01622569	0.003875036	0.02190955	0.01164908	-0.1157303	-0.007042416	0.08180458	0.0185754	-0.01319944	0.02382596	-0.01798253	0.01157522	-0.01323576	0.00268619	-0.02264749	0.02476481	0.02254404	-0.01627934	-0.02631476	0.01855286	0.01807237
HG01198	HG01198	0.05472096	-0.0792978	0.05465661	-0.06335392	0.05729249	-0.003385293	-0.0215307	-0.007431703	-0.01600104	0.005991046	-0.01424302	-0.003141242	-0.02411721	-0.08731085	-0.02896853	0.01837225	-0.007469171	-0.02012462	0.005422063	0.01682102	0.0421443	0.01591967	0.03509964	-0.00936135	-0.0147578	-0.01444417	-0.0136942	-0.015307	0.03730045	0.03689602
HG01200	HG01200	-0.03817671	-0.1420328	0.05345335	-0.02604281	0.06766622	0.00524823	0.007313383	-0.005819931	0.004732487	-0.005685133	0.002965816	-0.01100032	0.004883655	-0.0726465	-0.006646021	0.03395663	0.006624214	0.01578155	-0.007648243	-0.00914498	-0.01211084	0.003835086	0.008046534	0.0227698	0.0100553	-0.002045931	-0.0004400789	-0.005649559	0.004334748	-0.02920139
HG01204	HG01204	0.004091373	-0.1028659	0.05146349	-0.03998505	0.06679933	0.008782971	-0.001530341	-0.01206024	-0.003698104	0.009709582	-0.008718087	-0.01035749	0.00429002	-0.05895271	0.004828969	0.01680344	-0.003424517	-0.02258601	0.00365114	-0.006926345	-0.004784239	-0.01320284	0.01781193	-0.01349066	-0.007336342	0.0004978667	0.01658354	0.001047157	0.007869963	-0.01558443
HG01205	HG01205	0.008780997	-0.1134496	0.05181531	-0.04714369	0.05517128	0.00366945	-0.00408767	-0.01183985	-0.01661103	0.00185171	-0.007339877	0.008692234	0.01490742	-0.08455731	-0.009451798	0.02207262	0.008165077	0.03046201	0.02615318	0.005685749	0.00883726	-0.02512045	0.01202535	-0.0187414	0.0073179	0.001996823	-0.006677033	0.01479889	0.02047501	-0.03238879
HG01241	HG01241	0.3883322	0.04656069	0.0257501	-0.02257424	0.007044102	-0.01512195	0.03048467	-0.01134123	-0.003727836	0.003309671	0.007451193	0.01680524	0.01520071	-0.01042246	-0.01317391	0.02480954	0.02076866	-0.03486717	0.009446661	-0.04333714	0.1236674	-0.08353009	-0.01936687	-0.02359336	0.03005785	-0.1383202	0.01176011	-0.03697758	0.04302054	-0.08065335
HG01242	HG01242	0.2736624	-0.004453404	0.02499043	-0.0233926	0.01517232	0.008052491	0.004573335	-0.002319177	-0.004310909	0.003558565	0.01178869	-0.02399253	0.01778069	-0.03684662	0.02173161	-0.007473654	-0.04622908	0.03047148	-0.04256344	-0.01082485	0.06109842	0.007855998	-0.1443298	0.01340982	0.02078375	0.02744034	0.03778958	-0.07689485	-0.02839778	0.1024016
HG01247	HG01247	0.05669608	-0.07171058	0.06052515	-0.06620482	0.04155089	0.003953187	-0.02807973	0.01738133	-0.006333828	0.01535534	0.01710469	0.006510304	0.008811755	-0.09186207	-0.02385788	0.02972876	-0.01996052	0.01651635	-0.005428684	0.03278957	-0.009313251	0.01660425	-0.03747364	-0.01617846	0.009320336	0.02213626	0.02978272	0.01540369	-0.01028677	0.01654874
HG01248	HG01248	0.00500558	-0.1129942	0.04524583	-0.04053102	0.0683295	0.004200753	-0.003670436	-0.01328219	0.0003148438	0.006663364	-0.007009395	0.01467505	0.0131511	-0.08508197	-0.003518364	0.002881233	-0.01035105	0.01673388	-0.01552372	0.005522314	-0.02234463	0.005854678	-0.002196193	0.01731698	0.006950633	-0.003760613	0.01806699	0.01304801	0.02163135	0.006246045
HG01286	HG01286	0.08524219	-0.06727861	0.05797492	-0.06644964	0.04759639	0.009941551	0.005052438	-0.01216104	-0.0008393277	0.01140695	-0.02310432	0.02236473	-0.001013586	-0.103093	-0.006258975	0.04462689	0.04864089	0.01556043	-0.00955645	0.0340981	0.004059946	-0.008319917	0.02498304	-0.03177679	-0.02792595	0.001113876	0.004654323	0.0112964	0.01149687	0.01622562
HG01302	HG01302	-0.0004831503	-0.08250767	0.05594813	-0.08899421	0.06571408	0.002582422	-2.739764e-05	-0.007270972	0.006008412	0.02439747	-0.03246073	0.007319956	0.02077956	-0.1358523	-0.01541501	0.05666877	-0.007459759	0.003720126	0.01097591	0.02240211	0.005291784	0.02320697	0.0139889	-0.01650982	0.009470281	0.02064865	0.008472511	0.007603243	-0.03273586	0.01160336
HG01303	HG01303	0.003101799	-0.08507712	0.05716767	-0.0763484	0.04141554	-0.01738256	-0.01468779	-0.0177488	0.002228561	0.007724692	-0.03186961	0.008206493	0.003849559	-0.1414821	-0.02800817	0.05158575	0.008920314	0.008079666	0.04549374	-0.0200593	0.003951867	0.005051465	0.009536168	-0.02175007	-0.02422493	-0.01299504	-0.01463059	0.001348262	0.01525183	-0.01188592
HG01305	HG01305	0.02655157	-0.07572334	0.04962585	-0.07621418	0.04964692	0.005788539	-0.005015996	-0.02117479	0.01123137	0.00385826	-0.03947957	0.007883623	-0.002831829	-0.09037794	-0.02080786	0.03468348	-0.002190642	-0.001569168	-0.03687675	-0.006885068	0.00663428	0.004532703	-0.002262512	-0.01322491	0.004879707	-0.02336961	0.001133864	0.005619925	0.05516867	0.0001586064
HG01308	HG01308	0.0823061	-0.05896847	0.05520905	-0.07896475	0.05789666	0.007407548	0.01256966	-0.003668508	-0.03078773	-0.002434434	-0.01228817	0.007941525	0.02108123	-0.1502732	-0.006559915	0.07955986	-0.01178748	0.01370536	0.01407707	0.01596088	-0.006104475	0.01526879	0.04416196	0.001210987	-0.03110764	0.002719383	-0.03854902	-0.01322245	-0.01420356	-0.02074951
HG01311	HG01311	-0.01242989	-0.1252611	0.05200361	-0.02180683	0.05505214	-0.001992136	0.001968335	-0.01523921	0.0155952	-0.007782034	-0.009539869	0.007626777	-0.01005899	-0.05391017	0.0164907	0.03060614	-0.01198763	-0.008777522	0.001310509	-0.02145199	-0.002714459	0.009223978	0.001324273	-0.01644347	0.003869417	0.01358461	-0.0223469	-0.01486332	0.002390528	0.02040808
HG01312	HG01312	0.01544325	-0.09966425	0.04788876	-0.04641038	0.05812258	-0.008437899	-0.003468924	-0.006100742	0.008784857	0.00994305	-0.003964784	0.01709782	0.001317372	-0.07637496	-0.003225121	0.02691267	0.0114543	-0.004199721	-0.006543684	-0.01188747	-0.007724696	-0.00926389	0.006943692	-0.01301309	0.009760073	0.01712252	0.008093868	-0.004008795	0.007726702	-0.02738726
HG01323	HG01323	0.005286626	-0.09469573	0.06098391	-0.05979833	0.06107992	0.01503563	-0.002797965	0.005022877	-0.001893186	0.01352654	-0.01997498	0.01110606	-0.0164652	-0.06751988	-0.002911735	0.00806444	0.002224854	-0.01044929	-0.003321193	0.01338989	-0.02228538	0.01542708	0.01949287	-0.01010217	0.001928633	0.008399622	0.009927029	0.002997774	-0.02076026	0.02367169
HG01325	HG01325	0.02517375	-0.109117	0.05398849	-0.02601938	0.06664654	-0.008733499	0.01214711	-0.009995148	-0.002850391	0.001418695	-0.01428832	0.03314172	0.01368072	-0.08267563	-0.004620868	0.05060164	0.002950212	-0.003197735	0.01433535	-0.01299527	0.01710881	-0.0252486	0.01614607	-0.007582157	-0.01494263	-0.006376079	-0.0464823	-0.02054768	0.001561704	0.0008292628
