IID,sire,hare
NA19761,HIS,HIS
NA19762,NA,HIS
NA19764,HIS,HIS
NA19770,HIS,HIS
NA19771,HIS,HIS
NA19773,NA,HIS
NA19774,HIS,HIS
NA19776,HIS,HIS
NA19777,HIS,HIS
NA19779,HIS,HIS
NA19780,HIS,HIS
NA19782,NA,HIS
NA19783,NA,HIS
NA19785,HIS,HIS
NA19786,HIS,HIS
NA19788,HIS,HIS
NA19789,HIS,HIS
NA19792,HIS,HIS
NA19794,HIS,HIS
NA19795,HIS,HIS
NA19818,AFR,AFR
NA19819,AFR,AFR
NA19834,AFR,AFR
NA19835,AFR,AFR
NA19900,AFR,AFR
NA19901,AFR,AFR
NA19904,AFR,AFR
NA19908,AFR,AFR
NA19909,AFR,AFR
NA19913,AFR,AFR
NA19914,NA,AFR
NA19916,AFR,AFR
NA19917,AFR,AFR
NA19920,AFR,AFR
NA19921,AFR,AFR
NA19922,AFR,AFR
NA19923,AFR,AFR
NA19982,AFR,AFR
NA19984,AFR,AFR
NA20126,AFR,AFR
NA20127,AFR,AFR
NA20274,AFR,AFR
NA20276,AFR,AFR
NA20278,AFR,AFR
NA20281,NA,AFR
NA20282,AFR,AFR
NA20287,AFR,AFR
NA20289,AFR,AFR
NA20291,AFR,AFR
NA20294,AFR,AFR
NA20296,AFR,AFR
NA20298,AFR,AFR
NA20299,AFR,AFR
NA20314,AFR,AFR
NA20317,AFR,AFR
NA20318,AFR,AFR
NA20320,AFR,AFR
NA20321,AFR,AFR
NA20332,AFR,AFR
NA20334,AFR,AFR
NA20339,AFR,AFR
NA20340,AFR,AFR
NA20342,AFR,AFR
NA20346,AFR,AFR
NA20348,AFR,AFR
NA20351,AFR,AFR
NA20355,AFR,AFR
NA20356,AFR,AFR
NA20357,AFR,AFR
NA20359,AFR,AFR
NA20362,AFR,AFR
NA20412,AFR,AFR
NA20502,EUR,EUR
NA20503,EUR,EUR
NA20504,EUR,EUR
NA20505,EUR,EUR
NA20506,EUR,EUR
NA20507,EUR,EUR
NA20508,EUR,EUR
NA20509,EUR,EUR
NA20510,NA,EUR
NA20511,EUR,EUR
NA20512,EUR,EUR
NA20513,EUR,EUR
NA20514,EUR,EUR
NA20515,EUR,EUR
NA20516,NA,EUR
NA20517,EUR,EUR
NA20518,EUR,EUR
NA20519,EUR,EUR
NA20520,EUR,EUR
NA20521,EUR,EUR
NA20522,EUR,EUR
NA20524,EUR,EUR
NA20525,EUR,EUR
NA20527,EUR,EUR
NA20528,EUR,EUR
NA20529,EUR,EUR
NA20530,EUR,EUR
NA20531,EUR,EUR
NA20532,EUR,EUR
NA20533,EUR,EUR
NA20534,EUR,EUR
NA20535,EUR,EUR
NA20536,EUR,EUR
NA20538,EUR,EUR
NA20539,NA,EUR
NA20540,EUR,EUR
NA20541,EUR,EUR
NA20542,EUR,EUR
NA20543,EUR,EUR
NA20544,EUR,EUR
NA20581,EUR,EUR
NA20582,EUR,EUR
NA20585,EUR,EUR
NA20586,EUR,EUR
NA20587,EUR,EUR
NA20588,EUR,EUR
NA20589,EUR,EUR
NA20752,EUR,EUR
NA20753,EUR,EUR
NA20754,EUR,EUR
NA20755,EUR,EUR
NA20756,EUR,EUR
NA20757,EUR,EUR
NA20758,EUR,EUR
NA20759,EUR,EUR
NA20760,NA,EUR
NA20761,EUR,EUR
NA20762,EUR,EUR
NA20763,EUR,EUR
NA20764,EUR,EUR
NA20765,EUR,EUR
NA20766,EUR,EUR
NA20767,NA,EUR
NA20768,EUR,EUR
NA20769,EUR,EUR
NA20770,EUR,EUR
NA20771,EUR,EUR
NA20772,EUR,EUR
NA20773,EUR,EUR
NA20774,EUR,EUR
NA20775,EUR,EUR
NA20778,EUR,EUR
NA20783,EUR,EUR
NA20785,EUR,EUR
NA20786,EUR,EUR
NA20787,EUR,EUR
NA20790,EUR,EUR
NA20792,EUR,EUR
NA20795,EUR,EUR
NA20796,EUR,EUR
NA20797,EUR,EUR
NA20798,EUR,EUR
NA20799,EUR,EUR
NA20800,EUR,EUR
NA20801,EUR,EUR
NA20802,EUR,EUR
NA20803,EUR,EUR
NA20804,EUR,EUR
NA20805,NA,EUR
NA20806,EUR,EUR
NA20807,EUR,EUR
NA20808,EUR,EUR
NA20809,EUR,EUR
NA20810,EUR,EUR
NA20811,EUR,EUR
NA20812,EUR,EUR
NA20813,EUR,EUR
NA20814,EUR,EUR
NA20815,EUR,EUR
NA20818,EUR,EUR
NA20819,NA,EUR
NA20821,NA,EUR
NA20822,EUR,EUR
NA20826,EUR,EUR
NA20827,EUR,EUR
NA20828,EUR,EUR
NA20832,EUR,EUR
NA20845,ASN,ASN
NA20846,ASN,ASN
NA20847,ASN,ASN
NA20849,ASN,ASN
NA20850,ASN,ASN
NA20851,ASN,ASN
NA20852,ASN,ASN
NA20853,ASN,ASN
NA20854,ASN,ASN
NA20856,ASN,ASN
NA20858,ASN,ASN
NA20859,ASN,ASN
NA20861,ASN,ASN
NA20862,ASN,ASN
NA20863,ASN,ASN
NA20864,ASN,ASN
NA20866,ASN,ASN
NA20867,ASN,ASN
NA20868,ASN,ASN
NA20869,ASN,ASN
NA20870,ASN,ASN
NA20872,ASN,ASN
NA20874,ASN,ASN
NA20875,NA,ASN
NA20876,NA,ASN
NA20877,NA,ASN
NA20878,ASN,ASN
NA20881,ASN,ASN
NA20882,NA,ASN
NA20884,ASN,ASN
NA20885,ASN,ASN
NA20886,ASN,ASN
NA20887,ASN,ASN
NA20888,ASN,ASN
NA20889,NA,ASN
NA20890,ASN,ASN
NA20891,ASN,ASN
NA20892,ASN,ASN
NA20894,ASN,ASN
NA20895,ASN,ASN
NA20896,ASN,ASN
NA20897,ASN,ASN
NA20899,ASN,ASN
NA20900,ASN,ASN
NA20901,NA,ASN
NA20902,ASN,ASN
NA20903,ASN,ASN
NA20904,ASN,ASN
NA20905,ASN,ASN
NA20906,ASN,ASN
NA20908,ASN,ASN
NA20910,ASN,ASN
NA20911,ASN,ASN
NA21086,ASN,ASN
NA21087,ASN,ASN
